voivodeship,population,labour_force_2025_avg,offers,trainings,offers_per_100k_lf,trainings_per_100k_lf,offer_share_pct,training_share_pct,lf_q1_thousands,lf_q2_thousands,lf_q3_thousands,lf_q4_thousands
dolnośląskie,2868242,1404750,67890,51742,4832.89,3683.36,9.28,7.19,1385.0,1416.0,1422.0,1396.0
kujawsko-pomorskie,1984479,933250,30413,24936,3258.83,2671.95,4.16,3.47,939.0,923.0,937.0,934.0
lubelskie,1996440,919250,20165,22747,2193.64,2474.52,2.76,3.16,903.0,923.0,932.0,919.0
lubuskie,969819,444500,13843,10757,3114.29,2420.02,1.89,1.5,444.0,445.0,446.0,443.0
mazowieckie,5508322,2894500,195017,102473,6737.5,3540.27,26.65,14.25,2859.0,2872.0,2924.0,2923.0
małopolskie,3429084,1585500,64266,107371,4053.36,6772.06,8.78,14.93,1575.0,1564.0,1594.0,1609.0
opolskie,930296,433500,13377,11583,3085.81,2671.97,1.83,1.61,452.0,428.0,423.0,431.0
podkarpackie,2062997,868000,21373,44454,2462.33,5121.43,2.92,6.18,828.0,861.0,890.0,893.0
podlaskie,1132641,507750,14676,30793,2890.4,6064.6,2.01,4.28,510.0,517.0,504.0,500.0
pomorskie,2359493,1143500,55993,24976,4896.63,2184.17,7.65,3.47,1144.0,1130.0,1144.0,1156.0
warmińsko-mazurskie,1349172,600500,14042,24895,2338.38,4145.71,1.92,3.46,599.0,602.0,607.0,594.0
wielkopolskie,3479986,1703000,68558,68940,4025.72,4048.15,9.37,9.58,1691.0,1689.0,1716.0,1716.0
zachodniopomorskie,1622760,741750,27719,24993,3736.97,3369.46,3.79,3.47,744.0,729.0,741.0,753.0
łódzkie,2345924,1130500,41379,39043,3660.24,3453.6,5.65,5.43,1134.0,1128.0,1126.0,1134.0
śląskie,4291441,1968750,71568,104841,3635.2,5325.26,9.78,14.58,1938.0,1958.0,1989.0,1990.0
świętokrzyskie,1157991,520750,11489,24721,2206.24,4747.19,1.57,3.44,516.0,517.0,529.0,521.0
